Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
5/11/17,Quick Chek,QUICK CHEK #35,23.35,debit,Gas & Fuel,Rewards Card,,
5/10/17,Subway,Subway Restaurant,6.41,debit,Fast Food,Sapphire Card,,
5/10/17,Sling.com,SLING.COM,49.99,debit,Television,Sapphire Card,,
5/10/17,Subway,Subway Restaurant,9.39,debit,Fast Food,Sapphire Card,,
5/11/17,Weis Markets,WEIS MARKETS 230,3.99,debit,Groceries,Freedom Card,,
5/11/17,Days Inn,DAYS INN HILLSBROUGH,147.81,debit,Hotel,Sapphire Card,,
5/11/17,Days Inn,DAYS INN HILLSBROUGH,147.81,debit,Hotel,Sapphire Card,,
5/10/17,Quick Chek Corporation,QUICK CHEK CORPORATION HILLSBOROUGH NJ,37.37,debit,Gas & Fuel,Rewards Card,,
5/10/17,E-ZPass,NEW JERSEY E-ZPASS,25,debit,Toll Fees,Sapphire Card,,
5/10/17,Calvin Klein,CALVIN KLEIN #088,108.24,debit,Clothing,Sapphire Card,,
5/9/17,Dosa Grill,DOSA GRILL,28.7,debit,Restaurants,Sapphire Card,,
5/9/17,Plainsboro Wine & Liquor,PLAINSBORO WINE & LIQU,30.54,debit,Alcohol & Bars,Sapphire Card,,
5/8/17,Weis Markets,WEIS MARKETS 230,33.66,debit,Groceries,Freedom Card,,
5/8/17,Weis Markets,WEIS MARKETS 230,6.13,debit,Groceries,Freedom Card,,
5/8/17,Weis Markets,WEIS MARKETS 230,10.68,debit,Groceries,Sapphire Card,,
5/7/17,Patel Brothers,PATEL BROTHERS,13.97,debit,Groceries,Freedom Card,,
5/7/17,Patel Brothers,PATEL BROTHERS OF,62.99,debit,Groceries,Freedom Card,,
5/7/17,Shop Rite,SHOPRITE HILLSBORGH S1,39.91,debit,Groceries,Sapphire Card,,
5/7/17,Wal-Mart,WALMART.COM 8009666546,44.35,debit,Furnishings,Sapphire Card,2017NewFurniture,
5/7/17,Verizon Wireless,VERIZON WRLS D4638-01,89.81,debit,Mobile Phone,Sapphire Card,,
5/7/17,Panera Bread,PANERA BREAD # 607011,9.61,credit,Fast Food,Sapphire Card,,
5/7/17,Chipotle,CHIPOTLE 2394,10.21,debit,Restaurants,Sapphire Card,,
5/5/17,Quick Chek Corporation,QUICK CHEK CORPORATION HILLSBOROUGH NJ,21.62,debit,Gas & Fuel,Rewards Card,,
5/5/17,Panera Bread,PANERA BREAD #607011,57,debit,Fast Food,Sapphire Card,,
5/3/17,Quick Chek Corporation,QUICK CHEK CORPORATION HILLSBOROUGH NJ,37.64,debit,Gas & Fuel,Rewards Card,,
5/2/17,Thank You Bill,Payment Thank You Bill Pa,18.45,credit,Credit Card Payment,Freedom Card,,
5/2/17,Tst Cake Walk,TST* CAKE WALK,4.81,debit,Food & Dining,Sapphire Card,,
5/2/17,Thank You Bill,Payment Thank You Bill Pa,2853.57,credit,Credit Card Payment,Sapphire Card,,
5/2/17,Credit Card Payment,Chase Credit Cards Bill Payment,2853.57,debit,Credit Card Payment,Kalpan Checking,,
5/2/17,Credit Card Payment,Chase Credit Cards Bill Payment,18.45,debit,Credit Card Payment,Kalpan Checking,,
5/2/17,Netflix,NETFLIX.COM NETFLIX.COM CA,10.68,debit,Movies & DVDs,Rewards Card,,
5/2/17,Digital Ubill Paymt,WITHDRAW / DIGITAL CREDIT UBILL PAYMT170502,823.55,debit,Auto Payment,DCU Checking,,
5/2/17,Digital Ubill Paymt,WITHDRAW / DIGITAL CREDIT UBILL PAYMT170502,160.5,debit,Auto Payment,DCU Checking,,
5/1/17,Chambers Street Partners,CHAMBERS STREET PARKING GPRINCETON NJ,3,debit,Parking,Rewards Card,,
5/1/17,Transfer from Kalpan Checking,PAYMENT,817.41,credit,Credit Card Payment,Rewards Card,,
5/1/17,Patel Brothers,PATEL BROTHERS NORTH BRUNSWINJ,140.65,debit,Groceries,Rewards Card,,
5/1/17,Patel Brothers,PATEL BROTHERS NORTH BRUNSWINJ,22.98,debit,Groceries,Rewards Card,,
5/1/17,Transfer to Rewards Card,Bank of America Credit Card Bill Payment,817.41,debit,Credit Card Payment,Kalpan Checking,,
5/1/17,Transfer from Kalpan Savings,Online Banking transfer from SAV 2431 Confirmation# 3465416655,1000,credit,Transfer,Kalpan Checking,,
5/1/17,Mobile Email Transfer,"Mobile/Email Transfer Conf# gc95cj69i; BHATT, KHUSHBU",900,credit,Transfer,Kalpan Savings,,
5/1/17,Transfer to Kalpan Checking,Online Banking transfer to CHK 7360 Confirmation# 3465416655,1000,debit,Transfer,Kalpan Savings,,
5/1/17,Sunnymeade Run,Sunnymeade Run,1780,debit,Mortgage & Rent,Cash,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
