"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/12/2017","Quick Chek","QUICK CHEK #35","23.35","debit","Gas & Fuel","Rewards Card","",""
"5/10/2017","Sling.com","SLING.COM","49.99","debit","Television","Sapphire Card","",""
"5/10/2017","Subway","Subway Restaurant","6.41","debit","Fast Food","Sapphire Card","",""
"5/10/2017","Subway","Subway Restaurant","9.39","debit","Fast Food","Sapphire Card","",""
"5/12/2017","Deposit Cognizant Technodirect","DEPOSIT / COGNIZANT TECHNODIRECT DEP170515","500.00","credit","Paycheck","DCU Checking","",""
"5/11/2017","Weis Markets","WEIS MARKETS 230","3.99","debit","Groceries","Freedom Card","",""
"5/11/2017","Days Inn","DAYS INN HILLSBROUGH","147.81","debit","Hotel","Sapphire Card","",""
"5/11/2017","Days Inn","DAYS INN HILLSBROUGH","147.81","debit","Hotel","Sapphire Card","",""
"5/10/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","37.37","debit","Gas & Fuel","Rewards Card","",""
"5/10/2017","E-ZPass","NEW JERSEY E-ZPASS","25.00","debit","Toll Fees","Sapphire Card","",""
"5/10/2017","Calvin Klein","CALVIN KLEIN #088","108.24","debit","Clothing","Sapphire Card","",""
"5/09/2017","Dosa Grill","DOSA GRILL","28.70","debit","Restaurants","Sapphire Card","",""
"5/09/2017","Plainsboro Wine & Liquor","PLAINSBORO WINE & LIQU","30.54","debit","Alcohol & Bars","Sapphire Card","",""
"5/08/2017","Weis Markets","WEIS MARKETS 230","33.66","debit","Groceries","Freedom Card","",""
"5/08/2017","Weis Markets","WEIS MARKETS 230","6.13","debit","Groceries","Freedom Card","",""
"5/08/2017","Weis Markets","WEIS MARKETS 230","10.68","debit","Groceries","Sapphire Card","",""
"5/07/2017","Patel Brothers","PATEL BROTHERS","13.97","debit","Groceries","Freedom Card","",""
"5/07/2017","Patel Brothers","PATEL BROTHERS OF","62.99","debit","Groceries","Freedom Card","",""
"5/07/2017","Shop Rite","SHOPRITE HILLSBORGH S1","39.91","debit","Groceries","Sapphire Card","",""
"5/07/2017","Wal-Mart","WALMART.COM 8009666546","44.35","debit","Furnishings","Sapphire Card","2017NewFurniture",""
"5/07/2017","Verizon Wireless","VERIZON WRLS D4638-01","89.81","debit","Mobile Phone","Sapphire Card","",""
"5/07/2017","Panera Bread","PANERA BREAD # 607011","9.61","credit","Fast Food","Sapphire Card","",""
"5/07/2017","Chipotle","CHIPOTLE 2394","10.21","debit","Restaurants","Sapphire Card","",""
"5/05/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","21.62","debit","Gas & Fuel","Rewards Card","",""
"5/05/2017","Panera Bread","PANERA BREAD #607011","57.00","debit","Fast Food","Sapphire Card","",""
"5/03/2017","Quick Chek Corporation","QUICK CHEK CORPORATION HILLSBOROUGH NJ","37.64","debit","Gas & Fuel","Rewards Card","",""
"5/02/2017","Thank You Bill","Payment Thank You Bill Pa","18.45","credit","Credit Card Payment","Freedom Card","",""
"5/02/2017","Tst Cake Walk","TST* CAKE WALK","4.81","debit","Food & Dining","Sapphire Card","",""
"5/02/2017","Thank You Bill","Payment Thank You Bill Pa","2853.57","credit","Credit Card Payment","Sapphire Card","",""
"5/02/2017","Credit Card Payment","Chase Credit Cards Bill Payment","2853.57","debit","Credit Card Payment","Kalpan Checking","",""
"5/02/2017","Credit Card Payment","Chase Credit Cards Bill Payment","18.45","debit","Credit Card Payment","Kalpan Checking","",""
"5/02/2017","Netflix","NETFLIX.COM NETFLIX.COM CA","10.68","debit","Movies & DVDs","Rewards Card","",""
"5/02/2017","Digital Ubill Paymt","WITHDRAW / DIGITAL CREDIT UBILL PAYMT170502","823.55","debit","Auto Payment","DCU Checking","",""
"5/02/2017","Digital Ubill Paymt","WITHDRAW / DIGITAL CREDIT UBILL PAYMT170502","160.50","debit","Auto Payment","DCU Checking","",""
"5/01/2017","Chambers Street Partners","CHAMBERS STREET PARKING GPRINCETON NJ","3.00","debit","Parking","Rewards Card","",""
